Url,Company,Keyword,K repeated,Context,ToV,TagAnimal,TagFood,TagEnergy,TagDistribution,TagWaste,TagManagement,Actions,SentenceAim,Typology
,Domino's,emissions,2,"To create this simulation, Domino’s worked with a third party, Quantis Inc., to calculate the environmental impact of a large size pizza, including pizza box. This data is derived from a corporate footprint performed in 2021 of Domino's business in the United States, using FY 2019 data. Carbon emissions data from two leading life cycle assessment (LCA) databases, WFLDB and ecoinvent, in combination with supply chain specific data and assumptions from Domino’s and its suppliers, was used to estimate environmental impacts. As new information becomes available, methodologies and carbon emissions estimates may be updated.",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,dissemination,paragraph
https://biz.dominos.com/stewardship/environmental-footprint/,Domino's,emissions,2,"Greenhouse Gas Emissions
As the world transitions to a zero-carbon economy, Domino’s is committed to achieving net zero emissions across its value chain by 2050. This commitment is consistent with one of our core values: “Do the Right Thing.” We believe that protecting the planet for future generations is the right thing to do for our customers, our team members and our business.",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,take action,paragraph
,Domino's,emissions,4,"Work is underway to create a more detailed roadmap for how we can reach net zero emissions and will include rigorous measurement, transparent reporting and emissions reductions to achieve the following science-based targets:

We will reduce our scope 1 & 2 emissions 67% by 2035.
We will reduce our scope 3 emissions 40% by 2035.",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,take action,paragraph
,Domino's,emissions,2,"Domino’s 2019 greenhouse gas emissions were 3.56 million metric tons of CO2e: scope 1 0.14 MMT, scope 2 0.05 MMT, scope 3 3.37 MMT.
Domino’s 2019 greenhouse gas emissions were 3.56 million metric tons of CO2e: scope 1 0.14 MMT, scope 2 0.05 MMT, scope 3 3.37 MMT.",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,dissemination,paragraph
,Domino's,emissions,5,"More than 95% of our total carbon emissions fall within scope 3 – these are emissions that are a result of activities from assets not owned or controlled by Domino’s. This includes the emissions impacts from ingredients we purchase from suppliers, utilities and transportation, including delivery to our customers. This also includes emissions from our U.S. franchisees. Engaging with our franchises and suppliers will be crucial to reducing our scope 3 emissions.",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,take action,paragraph
,Domino's,emissions,1,"We recognize the path to reducing our emissions may not be easy. By maximizing efficiency across our own operations, tapping into the spirit of innovation and technology leadership of our brand, and collaborating with our stakeholders, we are confident that we will get there.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,take action,paragraph
https://biz.dominos.com/stewardship/environmental-footprint/,Domino's,natural,1,"One of the more noteworthy items that came to light during our baseline analysis is the large role that our natural gas ovens play in our carbon footprint. Ovens are a pivotal piece of equipment for all our stores. They are at the heart of pizza making, and over the years new ovens have become more efficient. As a brand known for innovation and technology, we look forward to working with our suppliers on future ovens that have a lower carbon footprint than the ovens of today.",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,take action,paragraph
https://biz.dominos.com/stewardship/,Domino's,greenhouse gas,1,"Focus on science-based climate actions to cut greenhouse gas emmissions, reduce water impact and minimize waste.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,take action,subtitle
https://biz.dominos.com/stewardship/environmental-footprint/,Domino's,greenhouse gas,1,"Greenhouse Gas Emissions
As the world transitions to a zero-carbon economy, Domino’s is committed to achieving net zero emissions across its value chain by 2050. This commitment is consistent with one of our core values: “Do the Right Thing.” We believe that protecting the planet for future generations is the right thing to do for our customers, our team members and our business.",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,take action,paragraph
,Domino's,greenhouse gas,3,"In 2020, working with global sustainability experts, Domino’s completed a corporate carbon footprint aligned with the Greenhouse Gas Protocol:

Domino’s 2019 greenhouse gas emissions were 3.56 million metric tons of CO2e: scope 1 0.14 MMT, scope 2 0.05 MMT, scope 3 3.37 MMT.
Domino’s 2019 greenhouse gas emissions were 3.56 million metric tons of CO2e: scope 1 0.14 MMT, scope 2 0.05 MMT, scope 3 3.37 MMT.",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,dissemination,paragraph
